ID,FMZ,Name,Phos,pH,Calc,Ecozone,Species,Fishery
15-5001-56935,4,NL,14.199,6.059,1.879,Ontario Shield,10,NA
15-5023-54567,5,Lower Manitou L.,6.2,7.44,9.4,Ontario Shield,18,Lake Trout
15-5026-55337,5,Rugby L.,19.699,7.589,11.8,Ontario Shield,15,Walleye
15-5036-57231,4,Mamakwash L.,12.4,6.929,4.639,Ontario Shield,10,NA
15-5045-56849,4,Shabu L.,10,6.95,4.74,Ontario Shield,12,Walleye
15-5085-55575,4,Thaddeus L.,11.699,7.849,25.5,Ontario Shield,8,Walleye
15-5100-54230,5,Otukamamoan L.,9.3,6.58,3.08,Ontario Shield,16,Walleye
15-5124-54968,5,Dore L.,13.199,7.25,6.679,Ontario Shield,6,Walleye
15-5149-54725,5,Upper Manitou L.,6.5,7.48,10.3,Ontario Shield,3,"Lake Trout, Walleye"
15-5149-54725,5,Upper Manitou L.,6.5,7.48,10.3,Ontario Shield,24,"Lake Trout, Walleye"
15-5159-54211,5,Lowry L.,24.1,6.799,2.419,Ontario Shield,10,NA
15-5172-54948,5,Godson L.,18.3,7.19,6.96,Ontario Shield,5,Walleye
15-5179-56721,4,Woman L.,9.699,7.459,11.6,Ontario Shield,11,NA
15-5192-56320,4,Whitemud L.,16.5,7.139,6.44,Ontario Shield,NA,Walleye
15-5209-57140,4,Wavell L.,12.8,6.638,2.56,Ontario Shield,7,Walleye
15-5210-56629,4,Confederation L.,7.2,7.12,8.439,Ontario Shield,NA,Lake Trout
15-5213-56724,4,Premier L.,9.3,7.129,7.679,Ontario Shield,18,Walleye
15-5221-54041,5,Little Turtle L.,12.4,6.7,2.68,Ontario Shield,19,Walleye
15-5236-53978,5,Bad Vermilion L.,9.4,7.169,10,Ontario Shield,9,Walleye
15-5241-55137,5,Thunder L.,12.1,7.65,13.3,Ontario Shield,13,Walleye
15-5242-54196,5,Heron L.,12.5,6.66,2.02,Ontario Shield,10,NA
15-5244-55839,4,Broadcast L.,9.8,8.039,32.2,Ontario Shield,10,NA
15-5290-56555,4,Uchi L.,12,7.19,7.66,Ontario Shield,9,NA
15-5293-55287,5,Gullwing L.,24.6,7.79,14.3,Ontario Shield,14,Walleye
15-5308-53662,5,Namakan L.,10.9,7.139,5,Ontario Shield,7,NA
15-5308-53662,5,Namakan L.,10.9,7.139,5,Ontario Shield,16,NA
15-5331-56487,4,Upper Slate L.,13.5,7.169,6.32,Ontario Shield,7,NA
15-5349-56812,4,Grace L.,14.1,7.389,10.699,Ontario Shield,6,Walleye
15-5396-55107,4,Hartman L.,10.1,7.419,11.199,Ontario Shield,7,Walleye
15-5413-55979,4,Birmingham L.,11.699,7.49,17,Ontario Shield,5,Walleye
15-5429-54280,5,Eltrut L.,11.9,6.75,2.299,Ontario Shield,17,Walleye
15-5452-56951,4,Birch L.,12.6,7.25,8.96,Ontario Shield,24,"Lake Trout, Walleye"
15-5464-53494,5,Lilac L.,11,7.089,3.02,Ontario Shield,13,Lake Trout
15-5472-54633,5,Wapageisi L.,6.9,7.03,4.9,Ontario Shield,5,Lake Trout
15-5477-54774,5,Long L.,7.799,7.459,11.3,Ontario Shield,6,Walleye
15-5502-54176,5,Manion L.,10.5,6.929,2.819,Ontario Shield,6,Walleye
15-5503-53695,5,Captain Tom L.,21.699,6.54,2.12,Ontario Shield,11,Walleye
15-5503-54708,5,Stormy L.,8,7.49,10.9,Ontario Shield,9,Lake Trout
15-5510-54322,5,Z05_Cy2_03 L.,12.199,7,3.6,Ontario Shield,NA,NA
15-5535-55111,4,Mickle L.,19.399,7.12,4.24,Ontario Shield,9,NA
15-5552-56587,4,Betty L. (Z04_Cy2_06),12.6,7.16,5.799,Ontario Shield,2,NA
15-5586-54227,5,Sandbeach L.,10.6,6.879,3.6,Ontario Shield,8,Walleye
15-5600-54290,5,Mount L.,6.7,6.9,2.919,Ontario Shield,9,Walleye
15-5605-56599,4,Jeanette L.,13.4,7.129,5.339,Ontario Shield,10,Walleye
15-5606-56722,4,Hailstone L.,17.199,6.79,3.459,Ontario Shield,7,Walleye
15-5630-53553,5,Lac la Croix,9.9,7.12,4.58,NA,15,NA
15-5662-53769,5,Beaverhouse L.,5.099,6.78,2.16,Ontario Shield,16,Lake Trout
15-5670-54304,5,Grey Trout L.,11.3,6.669,1.899,Ontario Shield,11,Lake Trout
15-5684-54631,5,"WE66-23, L. (DRY-NL-651)",10.1,6.549,1.74,Ontario Shield,12,Walleye
15-5688-53944,5,Factor L.,5,6.95,3.62,Ontario Shield,13,Lake Trout
15-5747-53824,5,Cirrus L.,5.4,6.629,1.899,Ontario Shield,19,NA
15-5752-55022,4,Unnamed L. (FMZ04_01),9,6.799,1.96,Ontario Shield,5,Walleye
15-5755-54281,5,Clearwater West L.,4.299,6.87,2.18,Ontario Shield,8,Lake Trout
15-5770-54220,5,Turtle L.,4.5,6.679,1.7,Ontario Shield,10,Walleye
15-5782-55201,4,Amik L.,23.399,6.99,6.44,Ontario Shield,7,Walleye
15-5787-53500,5,McAree L.,14.9,7.24,5.839,Ontario Shield,21,Walleye
15-5802-54916,4,Mud L.,9.3,7.08,4.16,Ontario Shield,7,Walleye
15-5808-56326,4,Otatakan L.,14.6,7.269,8.56,Ontario Shield,12,Walleye
15-5813-53685,5,Your L.,12.699,6.65,1.84,Ontario Shield,2,Walleye
15-5816-54402,5,White Otter L.,5,6.879,2.56,Ontario Shield,15,Walleye
15-5833-54665,5,Horseshoe L.,9.8,6.429,1.86,Ontario Shield,8,Lake Trout
15-5837-55088,4,Arethusa L.,15.699,7.169,5.24,Ontario Shield,11,Walleye
15-5842-54507,5,Nora L.,6.9,6.9,2.759,Ontario Shield,11,Walleye
15-5849-53998,5,Perch L.,12.699,7.089,6.28,Ontario Shield,16,Walleye
15-5849-54406,5,Jackfish L.,10,6.799,2,Ontario Shield,5,Lake Trout
15-5853-54894,4,Mameigwess L.,4.799,7.459,7.7,Ontario Shield,15,"Lake Trout, Walleye"
15-5858-54247,5,Crowrock L.,5.099,6.679,1.62,Ontario Shield,12,Walleye
15-5946-55139,4,Kukukus L.,14.5,7.24,5.54,Ontario Shield,15,Walleye
15-5955-54404,5,Sandford L.,4.799,6.849,2.72,Ontario Shield,15,Lake Trout
15-5958-53772,5,Jean L.,9.599,6.809,1.98,Ontario Shield,15,Walleye
15-5965-54891,4,Indian L.,9.5,7.25,7.24,Ontario Shield,16,Walleye
15-5970-53925,5,Abbess L.,8.099,6.62,1.6,Ontario Shield,10,Lake Trout
15-5975-53595,5,Poohbah L.,8,6.929,2.74,Ontario Shield,11,Walleye
15-5979-54059,5,Steep Rock L.,10.9,7.639,14.3,Ontario Shield,10,NA
15-6011-55383,4,Bawden L.,17,7,7.019,Ontario Shield,NA,Walleye
15-6011-55383,4,Bawden L.,17,7,7.019,Ontario Shield,8,Walleye
15-6013-53540,5,Conmee L.,9.9,6.299,1.24,Ontario Shield,3,NA
15-6038-55223,4,Flying Loon L.,14.1,7.179,5.519,Ontario Shield,11,NA
15-6046-55042,4,Gooch L.,18.899,6.66,4.059,Ontario Shield,9,Walleye
15-6048-54975,4,Victoria L.,9.099,7.32,6.2,Ontario Shield,11,Lake Trout
15-6059-54782,4,Little Sandbar L.,14.4,7.12,6.059,Ontario Shield,10,Walleye
15-6065-54144,5,Marmion L.,7.5,7.349,10,Ontario Shield,22,Walleye
15-6065-54144,5,Marmion L.,7.5,7.349,10,Ontario Shield,20,Walleye
15-6065-55009,4,Barrel L.,10.8,7.12,5.299,Ontario Shield,17,NA
15-6075-53504,5,Burt L.,3.7,6.48,1.36,Ontario Shield,6,Walleye
15-6076-54043,5,Rawn Re.,10.9,7.259,9.339,Ontario Shield,6,Walleye
15-6090-55164,4,Press L.,13.1,7.019,6.179,Ontario Shield,17,Walleye
15-6098-53616,5,Camel L.,11.1,6.259,1.419,Ontario Shield,2,NA
15-6111-54547,5,Kay L.,5.599,6.61,1.86,Ontario Shield,6,Lake Trout
15-6126-53450,5,Kahshahpiwi L.,4.7,6.58,1.7,Ontario Shield,7,NA
15-6135-54228,5,Sawbill B.,10.6,7,5.62,Ontario Shield,NA,Walleye
15-6143-55885,4,Bury L.,15.699,7.29,9.06,Ontario Shield,8,Walleye
15-6146-53867,5,Pickerel L.,4.299,6.759,2.58,Ontario Shield,12,Walleye
15-6146-55661,4,Stanzhikimi L.,18.1,7.7,20.5,Ontario Shield,NA,NA
15-6207-55385,4,Lake of B.s,13.1,7.37,9.3,Ontario Shield,18,NA
15-6217-55096,4,Wintering L.,12.699,7.309,7.98,Ontario Shield,13,Walleye
15-6217-56090,4,Carling L.,6.9,7.19,7.96,Ontario Shield,6,Lake Trout
15-6228-53450,5,Agnes L.,3.5,6.78,2.419,Ontario Shield,15,NA
15-6233-55269,4,Towers L.,13.3,7.33,8.919,Ontario Shield,7,Walleye
15-6244-55581,4,Singapore L.,14.199,7.019,6.48,Ontario Shield,13,Walleye
15-6250-53348,5,Louisa L.,6,6.87,3.459,Ontario Shield,8,Lake Trout
15-6259-55257,4,Whiterock L.,11.8,7.389,11.9,Ontario Shield,12,NA
15-6263-53964,5,Crystal L.,5.5,6.86,2.819,Ontario Shield,11,Lake Trout
15-6300-55346,4,Penassi L.,10.9,7.139,6.179,Ontario Shield,9,Walleye
15-6304-54898,4,Sowden L.,13.199,6.839,3.839,Ontario Shield,8,Walleye
15-6317-54251,5,Farley L.,13.4,6.559,2.839,Ontario Shield,2,Walleye
15-6321-55100,4,Crystal L.,11,6.929,6.96,Ontario Shield,4,Walleye
15-6332-53357,5,This Man L.,9.199,7.44,14.8,Ontario Shield,8,Lake Trout
15-6340-53970,5,Eva L.,4.5,6.879,3.04,Ontario Shield,3,Lake Trout
15-6345-54482,5,Scotch L.,6.7,6.669,2.24,Ontario Shield,13,Walleye
15-6348-53492,5,McEwen L.,6.099,6.919,3.08,Ontario Shield,3,Lake Trout
15-6378-55460,4,Gibraltar L.,12.8,6.94,6,Ontario Shield,8,Walleye
15-6383-54085,5,Mercutio L.,14.699,7.049,3.859,Ontario Shield,10,Walleye
15-6401-54050,5,Crooked Pine L.,10.1,7.24,7.099,Ontario Shield,7,NA
15-6401-54050,5,Crooked Pine L.,10.1,7.24,7.099,Ontario Shield,11,NA
15-6471-56202,4,Arc L.,6.799,7.169,6.94,Ontario Shield,9,Walleye
15-6480-53625,5,Mack L.,12.699,7.16,6.299,Ontario Shield,8,NA
15-6483-54441,5,Pyramid L.,9.199,6.839,2.62,Ontario Shield,2,NA
15-6493-54089,5,Union L.,14.3,6.889,3.6,Ontario Shield,7,Walleye
15-6500-55194,4,Bell L.,7.5,7.089,5.679,Ontario Shield,15,Lake Trout
15-6508-53496,5,Saganagons L.,7.9,7.2,5.639,Ontario Shield,11,Lake Trout
15-6523-56318,4,Miniss L.,8.099,7.04,6.12,Ontario Shield,NA,Walleye
15-6531-54804,4,Selwyn L.,11.199,6.87,3.319,Ontario Shield,12,Walleye
15-6578-54141,6,Bedivere L.,13.1,7.179,4.179,Ontario Shield,9,Walleye
15-6587-53594,6,Twinhouse L.,5.7,6.61,1.56,Ontario Shield,5,NA
15-6600-55380,4,Sturgeon L.,6.799,7.429,14.5,Ontario Shield,27,"Lake Trout, Walleye"
15-6617-56410,4,Bertaud L.,7.4,6.87,5.82,Ontario Shield,11,Walleye
15-6648-53638,6,Greenwood L.,9,6.879,3.359,Ontario Shield,8,NA
15-6723-53466,6,Northern Light L.,9.099,7.4,4.879,Ontario Shield,18,Walleye
15-6733-56270,4,Minchin L.,6.2,7.12,6.219,Ontario Shield,NA,Walleye
15-6733-56270,4,Minchin L.,6.2,7.12,6.219,Ontario Shield,13,Walleye
15-6742-56100,4,Fitchie L.,11.1,6.94,6.259,Ontario Shield,10,Walleye
15-6747-53842,6,Burchell L.,3.1,7.45,12.8,Ontario Shield,20,Lake Trout
15-6775-54775,4,Wawang L.,9.5,7.129,4.019,Ontario Shield,17,Walleye
15-6812-53794,6,Grouse L.,8.9,7.339,6.419,Ontario Shield,12,Lake Trout
15-6825-55952,4,Savant L.,5.9,7.24,6.5,Ontario Shield,18,"Lake Trout, Walleye"
15-6827-54135,6,"des Mille Lacs, La.",22.699,7.19,6.059,Ontario Shield,13,Walleye
